,,Weights
"1,13",HYB,0.16813
"1,13",EIC,0.00813
"1,12",EAD,0.17333
"1,12",RA,0.00424
"1,12",KIO,0.05124
"1,12",ISD,0.37124
"1,12",VLT,0.03749
"1,12",FSD,0.16464
"1,12",GHY,0.0013
"1,12",JLS,0.0053
"1,12",IVH,0.0003
"1,12",AIF,0.00364
"1,12",HYB,0.18364
"1,12",EIC,0.00364
"1,11",RA,0.00091
"1,11",KIO,0.06991
"1,11",ISD,0.40102
"1,11",VLT,0.03977
"1,11",FSD,0.15548
"1,11",GHY,0.00715
"1,11",JLS,0.00515
"1,11",IVH,0.00515
"1,11",AIF,0.01515
"1,11",HYB,0.30015
"1,11",EIC,0.00015
"1,10",KIO,0.07
"1,10",ISD,0.40111
"1,10",VLT,0.03986
"1,10",FSD,0.15558
"1,10",GHY,0.00724
"1,10",JLS,0.00524
"1,10",IVH,0.00524
"1,10",AIF,0.01524
"1,10",HYB,0.30024
"1,10",EIC,0.00024
"1,9",ISD,0.43111
"1,9",VLT,0.03611
"1,9",FSD,0.15325
"1,9",GHY,0.00492
"1,9",JLS,0.00692
"1,9",IVH,0.00192
"1,9",AIF,0.01192
"1,9",HYB,0.34692
"1,9",EIC,0.00692
"1,8",VLT,0.085
"1,8",FSD,0.19643
"1,8",GHY,0.00143
"1,8",JLS,0.00943
"1,8",IVH,0.02943
"1,8",AIF,0.09276
"1,8",HYB,0.58276
"1,8",EIC,0.00276
"1,7",FSD,0.22286
"1,7",GHY,0.00452
"1,7",JLS,0.00652
"1,7",IVH,0.02402
"1,7",AIF,0.09736
"1,7",HYB,0.64236
"1,7",EIC,0.00236
"1,6",GHY,0.00667
"1,6",JLS,0.04867
"1,6",IVH,0.04367
"1,6",AIF,0.11367
"1,6",HYB,0.78367
"1,6",EIC,0.00367
"1,5",JLS,0.05
"1,5",IVH,0.045
"1,5",AIF,0.12167
"1,5",HYB,0.78167
"1,5",EIC,0.00167
"1,4",IVH,0.05
"1,4",AIF,0.11667
"1,4",HYB,0.82667
"1,4",EIC,0.00667
"1,3",AIF,0.12333
"1,3",HYB,0.86833
"1,3",EIC,0.00833
"2,38",CIF,0.00147
"2,38",EHT,0.0
"2,38",JCO,0.0
"2,38",BGIO,0.0
"2,38",JHB,0.0
"2,38",IHTA,0.0
"2,38",DMO,0.0
"2,38",HYT,0.257
"2,38",HNW,0.0
"2,38",JHAA,0.0
"2,38",IHIT,0.0
"2,38",HIX,0.00159
"2,38",EHI,0.0
"2,38",PHT,0.0
"2,38",HYI,0.0
"2,38",OPP,0.0
"2,38",MCR,0.0
"2,38",CIK,0.00061
"2,38",NHS,0.16211
"2,38",HIO,0.05264
"2,38",MPV,0.00376
"2,38",DHY,0.03611
"2,38",MCI,0.00548
"2,38",AWF,0.0
"2,38",DHF,0.08034
"2,38",BGH,0.0
"2,38",EAD,0.08727
"2,38",RA,0.00056
"2,38",KIO,0.03256
"2,38",ISD,0.157
"2,38",VLT,0.0
"2,38",FSD,0.06
"2,38",GHY,0.0
"2,38",JLS,0.0
"2,38",IVH,0.0
"2,38",AIF,0.0
"2,38",HYB,0.06075
"2,38",EIC,0.00075
"2,37",EHT,0.0
"2,37",JCO,0.0
"2,37",BGIO,0.0
"2,37",JHB,0.00027
"2,37",IHTA,0.00088
"2,37",DMO,0.0015
"2,37",HYT,0.35215
"2,37",HNW,0.00048
"2,37",JHAA,0.00082
"2,37",IHIT,0.00082
"2,37",HIX,0.0
"2,37",EHI,0.0
"2,37",PHT,0.01
"2,37",HYI,0.0
"2,37",OPP,0.0
"2,37",MCR,0.00253
"2,37",CIK,0.01
"2,37",NHS,0.18676
"2,37",HIO,0.05571
"2,37",MPV,0.0
"2,37",DHY,0.06831
"2,37",MCI,0.0
"2,37",AWF,0.0
"2,37",DHF,0.06263
"2,37",BGH,0.0
"2,37",EAD,0.10802
"2,37",RA,0.05
"2,37",KIO,0.00346
"2,37",ISD,0.04457
"2,37",VLT,0.0
"2,37",FSD,0.0
"2,37",GHY,0.0
"2,37",JLS,0.0
"2,37",IVH,0.0
"2,37",AIF,0.0
"2,37",HYB,0.03555
"2,37",EIC,0.00555
"2,36",JCO,0.00031
"2,36",BGIO,0.00088
"2,36",JHB,0.00147
"2,36",IHTA,0.00208
"2,36",DMO,0.0
"2,36",HYT,0.35367
"2,36",HNW,0.00234
"2,36",JHAA,0.00234
"2,36",IHIT,0.0
"2,36",HIX,0.0
"2,36",EHI,0.0
"2,36",PHT,0.0
"2,36",HYI,0.0
"2,36",OPP,0.0
"2,36",MCR,0.0
