,,Weights
"2,49",AOD,0.0
"2,49",BGY,0.0
"2,49",BMEZ,0.0
"2,49",CET,0.0
"2,49",UTF,0.0
"2,49",BOE,0.0
"2,49",IGR,0.0
"2,49",PEO,0.03
"2,49",DNP,0.0
"2,49",RQI,0.0
"2,49",AEF,0.0
"2,49",BUI,0.0
"2,48",CLM,0.0
"2,48",DNP,0.0
"2,48",BME,0.0
"2,48",UTF,0.0
"2,48",ETJ,0.0
"2,48",BUI,0.0
"2,48",EOS,0.0
"2,48",RFI,0.0
"2,48",STK,0.0
"2,48",BMEZ,0.0
"2,48",EOI,0.066
"2,48",EXD,0.004
"2,48",RQI,0.018
"2,48",RNP,0.0
"2,48",BSTZ,0.0
"2,48",AIO,0.0
"2,48",CII,0.031
"2,48",BDJ,0.039
"2,48",CHN,0.0
"2,48",BGY,0.0
"2,48",IAF,0.0
"2,48",AWP,0.0
"2,48",BOE,0.012
"2,48",DPG,0.0
"2,48",NFJ,0.072
"2,48",AGD,0.004
"2,48",AEF,0.005
"2,48",ADX,0.486
"2,48",AOD,0.005
"2,48",BGR,0.003
"2,48",CPZ,0.001
"2,48",GLQ,0.0
"2,48",BCX,0.011
"2,48",JEQ,0.001
"2,48",IGR,0.001
"2,48",ASA,0.002
"2,48",PEO,0.034
"2,48",BIF,0.01
"2,48",CEM,0.0
"2,48",MIE,0.001
"2,48",CET,0.053
"2,48",DSE,0.0
"2,48",CTR,0.005
"2,48",GRF,0.045
"2,48",EMO,0.0
"2,48",SRV,0.0
"2,48",SZC,0.025
"2,48",CEN,0.066
"2,47",DNP,0.0
"2,47",BME,0.0
"2,47",UTF,0.0
"2,47",ETJ,0.0
"2,47",BUI,0.0
"2,47",EOS,0.004
"2,47",RFI,0.0
"2,47",STK,0.0
"2,47",BMEZ,0.0
"2,47",EOI,0.093
"2,47",EXD,0.001
"2,47",RQI,0.001
"2,47",RNP,0.01
"2,47",BSTZ,0.0
"2,47",AIO,0.0
"2,47",CII,0.051
"2,47",BDJ,0.039
"2,47",CHN,0.0
"2,47",BGY,0.0
"2,47",IAF,0.0
"2,47",AWP,0.0
"2,47",BOE,0.021
"2,47",DPG,0.0
"2,47",NFJ,0.002
"2,47",AGD,0.004
"2,47",AEF,0.005
"2,47",ADX,0.466
"2,47",AOD,0.005
"2,47",BGR,0.003
"2,47",CPZ,0.001
"2,47",GLQ,0.0
"2,47",BCX,0.0
"2,47",JEQ,0.0
"2,47",IGR,0.0
"2,47",ASA,0.003
"2,47",PEO,0.043
"2,47",BIF,0.0
"2,47",CEM,0.0
"2,47",MIE,0.002
"2,47",CET,0.104
